A	114	The rain beetles are a group of beetles found in the far west of North America. They spend most of their lives underground, emerging in response to rain or snow, thus the common name. Formerly classified in the Geotrupidae, they are currently assigned to their own family Pleocomidae, considered the sister group to all the remaining families of Scarabaeoidea. The family contains a single extant genus, Pleocoma, and one extinct genus, Cretocoma, described in 2002 from Late Cretaceous deposits in Mongolia.
A	122	On this date in 1751, James Madison was born in Virginia. The Deist, who became primary author of the secular U.S. Constitution and Bill of Rights, and fourth President of the United States, originally contemplated the ministry as a career. After graduating from Princeton, Madison was appointed a delegate to the Virginia state convention. There he was responsible for the adoption of a freedom of conscience clause in the state constitution. "Religious bondage shackles and debilitates the mind and unfits it for every noble enterprise, every expanded prospect," Madison wrote William Bradford (April 1, 1771).
A	111	The first political rallies for peace in the Confederacy occurred during the summer of 1861 in the central North Carolina counties of Randolph and Davidson. Protesting a draft of one-third of the state militia into the Confederate army, some 50 members of the Randolph County militia marched under a white flag and prayed for peace. At a "Union meeting" in neighboring Davidson County, leaders denounced the Confederacy and advocated reunion. Hundreds of troops were sent into the Randolph/Davidson area during this period to quell an uprising of armed militant Unionists.
A	127	To complicate matters, the majority of these locations were small villages that are not registered in most indexes or Google Earth. In addition, the place name could be several words, and the point at which the series of letters were split into words seemed arbitrary at times. Some place names were rather commonly used throughout the region for different locations and therefore not a good indicator of a unique location. The river seemed to disappear at certain points, and it did not seem likely that natural events would have caused this. Lastly, due to the high density of rapids in certain areas it was rather difficult to pin point exactly which river he went down.
A	102	Researchers at Stanford University in the US have discovered a type of highly elastic, transparent thin film that conducts electricity extremely well. The film is made of wavy, spring-like carbon nanotubes and could be used as the electrode material in "skin-like" pressure and stretch sensors. Such devices might one day be used to help restore touch and pressure sensitivity to amputees, injured soldiers and burn victims, and also find applications in robotics and touch-sensitive computer displays, says the team.
A	116	Warts, also called verrucae, are small benign growths usually caused by a viral infection of the skin or mucous membrane. The virus infects the surface layer of skin. The viruses that cause warts are members of the human papilloma virus (HPV) family, of which there are many different strains. Warts are not cancerous but some strains of HPV, usually not associated with warts, have been linked with cancer formation. Warts are contagious from person to person and from one area of the body to another on the same person.
A	110	Earth’s aurorae, or Northern and Southern Lights, provide a dazzling light show to people living in the polar regions. Shimmering curtains of green and red undulate across the sky like a living thing. New research shows that aurorae on distant "hot Jupiters" could be 100-1000 times brighter than Earthly aurorae. They also would ripple from equator to poles (due to the planet’s proximity to any stellar eruptions), treating the entire planet to an otherworldly spectacle.
A	118	Liturgical Movement, a 19th- and 20th-century effort in Christian churches to restore the active and intelligent participation of the people in the liturgy, or official rites, of the Christian religion. The movement sought to make the liturgy both more attuned to early Christian traditions and more relevant to modern Christian life. The process involved simplifying rites, developing new texts (in the case of Roman Catholicism, translating the Latin texts into the vernacular of individual countries), and reeducating both laity and clergy on their role in liturgical celebrations.
A	124	More than ten years ago, my laboratory showed that a enzyme found in bacteria that could carry out recombination between chromosomes could also function in human cells. This enzyme, called phiC31 integrase, has became a useful tool for modifying the chromosomes in a wide variety of organisms, including human and mouse cells, as well as cells from fruit flies, plants, toads, and other organisms. For example, we have used phiC31 integrase extensively in gene therapy studies to add healthy genes to mammalian cells that had harmful mutations in various genes, such as the genes involved in hemophilia and muscular dystrophy.
A	104	The AC is then sent to the rectifier bridge and it is located inside on the back wall of the alternator. The job of the rectifier bridge is to convert the stators AC voltage into DC voltage. Inside the rectifier bridge there are six diodes (three positive and three negative). Since the AC sine waves go negative and positive you need to convert both sides. So if you have a 75-amp alternator then the diodes in the rectifier would be rated at 25 amps each negative and positive.
A	110	Around day 14 of a 28‐day menstrual cycle, the average woman ovulates and releases an egg, or ovum, from one of her ovaries. The ovum is then picked up by fingerlike structures called fimbriae and is swept into the nearby fallopian tube. If conception occurs and a sperm and ovum unite, the newly formed zygote, or conceptus, travels down the fallopian tube and attaches to the uterine wall. If conception does not occur, the ovum dissolves in approximately 48 hours.
A	102	A Radioactive metallic transuranic element, belonging to the actinoids. A transuranic element means an element with atoms heavier than those of Uranium with an atomic number greater than 92. It is also known as unnilbium. Nobelium does not occur naturally. It has not yet been found in the earth’s crust and it is so unstable that any amount formed would decompose to other elements very quickly. The Atomic Number of this element is 102 and the Element Symbol is No.
A	117	Anyone who has spent time in the tropics knows that the diversity of species found there is astounding and the abundance and diversity of ants, in particular, is unparalleled. Scientists have grappled for centuries to understand why the tropics are home to more species of all kinds than the cooler temperate latitudes on both sides of the equator. Several hypotheses have been proposed to explain the higher species numbers in the tropics, but these hypotheses have never been tested for the ants, which are one of the most ecologically and numerically dominant groups of animals on the planet.
A	117	Atrial septal defect (ASD) is a hole in the wall between the two upper chambers of the heart, called the atria. This hole usually does not cause any symptoms or problems in a young child. Over a person’s lifetime, the extra blood crossing the hole goes to the lungs. This can damage the blood vessels of the lungs. Adults who still have a hole are at greater risk of strokes. If very small, an atrial septal defect may not require any treatment. Other defects may need cardiac catheterization or surgery to close or patch the hole.
A	122	Power supplies can be integrated into a device or externally attached, portable modules, depending on their operating temperature and risk of overheating. Power supplies are necessary to the operation of just about every electrical device, including desktop and laptop computers, cell phones, lasers, telecommunications like radio, phone lines and the internet, medical equipment, lamps, appliances and industrial machinery. They provide either AC power supply, which is an alternating current, or DC power supplies, which offer a direct current. Today, most electronic devices in the home and office are powered by 12v power supply, while industrial applications employ high voltage power supply.
A	104	I’ve always said that my primary interest in railroads is not necessarily the machine that is a train, but instead the way railroad systems change over time, and how they influence the people and locations around them – or even how places influence the rails. For those with similar interests, the city of Berlin is a great case study. As I’m sure everyone is familiar, Germany and the city of Berlin were partitioned after World War II into areas occupied by the French, British, Americans, and Soviets.
A	107	The Amman Message is a landmark document that draws on the values of Islam enshrined in the Quran to reassert the principles that must, as part of the practice of true Muslim faith, guide inter-Muslim relations and the Muslim world's relationships with other faiths and cultures. The Amman Message, released during the holy month of Ramadan (November 2004), was inspired by the historical responsibility of the Hashemites, as descendants of the Prophet Mohammad (peace be upon him), to uphold and defend the faith.
A	122	Rights that belong to an individual as a consequence of being human. The term came into wide use after World War II, replacing the earlier phrase natural rights, which had been associated with the Greco-Roman concept of natural law since the end of the Middle Ages. As understood today, human rights refer to a wide variety of values and capabilities reflecting the diversity of human circumstances and history. They are conceived of as universal, applying to all human beings everywhere, and as fundamental, referring to essential or basic human needs. Human rights have been classified historically in terms of the notion of three generations of human rights.
A	121	Titanic was built in Belfast, Ireland in 1912. She was the largest and most luxurious ship ever built. Titanic measured 269 metres by 28 metres. Everyone thought the Titanic was unsinkable. On April the 10th 1912 she set sail from Southampton to New York carrying 891 crew and 1317 passengers the captain of the ship was Edward John Smith. He was a very experienced sailor who had captained other ships. Titanic sailed through calm waters. On the fourth day with the ship nearing Newfoundland, Canada the waters tuned icy they ignored several ice berg warnings.
